Region,Rank,Species,,
nwGOM, 41,P. fasciatus,,
nwGOM, 42,–,,
nwGOM, 43,–,,
nwGOM, 44,–,,
nwGOM, 45,–,,
nwGOM, 46,–,,
nwGOM, 47,–,,
nwGOM, 48,–,,
nwGOM, 49,–,,
nwGOM, 50,–,,
nwGOM, 51,–,,
nwGOM, 52,–,,
nwGOM, 53,–,,
nwGOM, 54,–,,
Mexico, 1,M. tuckeri,,
Mexico, 2,A. ordwayi,,
Mexico, 3,C. parrae,,
Mexico, 4,M. triangulatus,,
Mexico, 5,S. partitus,,
Mexico, 6,S. baldwini,,
Mexico, 7,T. bifasciatum,,
Mexico, 8,X. martinicensis,,
Mexico, 9,L. carmabi,,
Mexico, 10,N. usta,,
Mexico, 11,N. curacaoensis,,
Mexico, 12,C. sapidus,,
Mexico, 13,G. smithii,,
Mexico, 14,P. maculatus,,
Mexico, 15,H. chrysargyreum,,
Mexico, 16,G. loreto,,
Mexico, 17,S. tigrinus,,
Mexico, 18,H. tricolor,,
Mexico, 19,C. rostrata,,
Mexico, 20,H. garnoti,,
Mexico, 21,O. atlanticus,,
Mexico, 22,C. cyanea,,
Mexico, 23,S. intermedius,,
Mexico, 24,M. venenosa,,
Mexico, 25,P. argus,,
Mexico, 26,C. multilineata,,
Mexico, 27,A. saxatilis,,
Mexico, 28,C. roseus,,
Mexico, 29,G. prochilos,,
Mexico, 30,S. hispidus,,
Mexico, 31,P. volitans,,
Mexico, 32,D. bivittatum,,
Mexico, 33,–,,
Mexico, 34,–,,
Mexico, 35,–,,
Mexico, 36,–,,
Mexico, 37,–,,
Mexico, 38,–,,
Mexico, 39,–,,
Mexico, 40,–,,
Mexico, 41,–,,
Mexico, 42,–,,
Mexico, 43,–,,
Mexico, 44,–,,
Mexico, 45,–,,
Mexico, 46,–,,
Mexico, 47,–,,
Mexico, 48,–,,
Mexico, 49,–,,
Mexico, 50,–,,
Mexico, 51,–,,
Mexico, 52,–,,
Mexico, 53,–,,
Mexico, 54,–,,
North Carolina, 1,R. aurorubens,,
North Carolina, 2,H. aurolineatum,,
North Carolina, 3,S. crumenophthalmus,,
North Carolina, 4,S. radians,,
North Carolina, 5,S. beta,,
North Carolina, 6,D. bivittatum,,
North Carolina, 7,H. geminatus,,
North Carolina, 8,S. phoebe,,
North Carolina, 9,S. subligarius,,
North Carolina, 10,M. ciliatus,,
North Carolina, 11,A. chirurgus,,
North Carolina, 12,O. purpurea,,
North Carolina, 13,S. baldwini,,
North Carolina, 14,–,,
North Carolina, 15,–,,
North Carolina, 16,–,,
North Carolina, 17,–,,
North Carolina, 18,–,,
North Carolina, 19,–,,
North Carolina, 20,–,,
North Carolina, 21,–,,
North Carolina, 22,–,,
North Carolina, 23,–,,
North Carolina, 24,–,,
North Carolina, 25,–,,
North Carolina, 26,–,,
North Carolina, 27,–,,
North Carolina, 28,–,,
North Carolina, 29,–,,
North Carolina, 30,–,,
North Carolina, 31,–,,
North Carolina, 32,–,,
North Carolina, 33,–,,
North Carolina, 34,–,,
North Carolina, 35,–,,
North Carolina, 36,–,,
North Carolina, 37,–,,
North Carolina, 38,–,,
North Carolina, 39,–,,
North Carolina, 40,–,,
North Carolina, 41,–,,
North Carolina, 42,–,,
North Carolina, 43,–,,
North Carolina, 44,–,,
North Carolina, 45,–,,
North Carolina, 46,–,,
North Carolina, 47,–,,
North Carolina, 48,–,,
North Carolina, 49,–,,
North Carolina, 50,–,,
North Carolina, 51,–,,
North Carolina, 52,–,,
North Carolina, 53,–,,
North Carolina, 54,–,,
neGOM, 1,C. ocyurus,,
neGOM, 2,P. robustus,,
neGOM, 3,R. aurorubens,,
neGOM, 4,A. pseudomaculatus,,
neGOM, 5,L. setiferus,,
neGOM, 6,H. bathyphilus,,
neGOM, 7,C. scotti,,
neGOM, 8,X. novacula,,
neGOM, 9,S. fuscus,,
neGOM, 10,D. punctatus,,
neGOM, 11,A. spinicarpus,,
neGOM, 12,P. sayi,,
neGOM, 13,H. bivittatus,,
neGOM, 14,C. enchrysurus,,
neGOM, 15,F. duorarum,,
neGOM, 16,S. subligarius,,
neGOM, 17,M. mercenaria,,
neGOM, 18,T. lathami,,
neGOM, 19,S. empusa,,
neGOM, 20,P. albigutta,,
neGOM, 21,S. seticornis,,
neGOM, 22,R. similis,,
